stop_id,stop_name,stop_lat,stop_lon
162,Chawama Post Office,-15.463206,28.283435
163,Patuka,-15.465804,28.283585
164,Divine Providence School,-15.466276,28.280354
165,Lusaka Eye Hospital,-15.46607864,28.27572536
166,Friezland Business Center,-15.462167,28.275185
167,Little Woods School,-15.45780225,28.27457329
168,John Howard,-15.47047163,28.28369464
169,Twalala Complex,-15.473942,28.284334
170,Jam City Bus Stop,-15.47323011,28.28820481
171,Lilayi Turn Off,-15.472232,28.292668
172,Kwa Jack,-15.47326308,28.29460246
173,Kwa Jack,-15.47359454,28.29561031
174,Complex - Chawama,-15.46462787,28.29135936
175,Chawama Pathway - Kamwala,-15.457758,28.290308
176,Apex,-15.50366,28.324821
177,Chigayo,-15.49917213,28.32983136
178,Tick School,-15.4961183,28.3326392
179,Shiloh Gardens,-15.49253421,28.33305323
180,Zesco Munyaule,-15.48536985,28.34222938
181,Godus School & Daycare,-15.47705388,28.3421639
182,PS Mall,-15.48101329,28.34214734
183,Torriam Investment Limited,-15.47960199,28.34214421
184,Zambia Messianic Fellowship,-15.47017328,28.34217556
185,Soulmate,-15.47136387,28.34218493
186,Chalala Mall,-15.46561805,28.34214741
187,The Gateway - Shantumbu Rd.,-15.46770701,28.34217773
188,SGC Filling Station - Shantumbu Rd.,-15.48250081,28.3421427
189,Munyaule Robots,-15.462528,28.341291
190,Simoko Trust School,-15.45506901,28.34166966
191,Shoprite Mall - Chilenje,-15.45444153,28.33794547
192,Lusaka Apex Medical University,-15.4765014,28.3310741
193,Rabbit Range - Apex,-15.47824305,28.33129158
194,Go City Lodges,-15.47285953,28.33061795
195,Bluey Day care,-15.47151128,28.33045003
196,Manna Shopping Centre,-15.4659263,28.32974641
197,New Apostolic Church Hillview Congregation,-15.46816254,28.33004619
198,Trinity Chapel,-15.46240925,28.32932193
199,Hi Life Complex,-15.46074275,28.32910846
200,Bigoca Hopfan Chilenje,-15.46073567,28.32737534
201,Garage yama Benz,-15.461165,28.322834
202,Gervais Minimart - Kamulanga,-15.4886408,28.29532004
203,Jehovah's Witness Kingdom Hall - Kamulanga,-15.48051385,28.29391604
204,Lake Petroleum Filling Station - Kamulanga,-15.47735486,28.29336068
205,Kamulanga Secondary School,-15.47422932,28.29290718
206,Mary Immaculate Girls Secondary School,-15.47512832,28.29302561
207,Kamulanga High School,-15.47238098,28.29335262
208,John Haward Community School,-15.472359,28.291954
209,Lake Petrolium filling Station - Augustine Lungu Rd.,-15.45828058,28.31899186
210,Francis,-15.45346498,28.33569757
211,Chilenje South High School,-15.45483922,28.32837512
212,Kamwala South,-15.463972,28.300699
213,Jesus Living Church,-15.469692,28.298357
214,Lilayi,-15.49102334,28.31386138
215,Doromity - Mungwi Rd,-15.37211454,28.16791983
216,Miller - Mungwi Rd,-15.372552,28.171882
217,Celine Academy,-15.37227617,28.1751257
218,St Joseph - Mungwi Rd,-15.37079431,28.17867524
219,Cave Building,-15.36988017,28.1843856
220,Paka Market,-15.37174191,28.1874055
221,Exodus - Mungwi Rd,-15.37788346,28.19261641
222,Africab Group,-15.37920897,28.19702615
223,Sun Share Investment,-15.38137278,28.2041176
224,Bob Bromes Police Post,-15.37363418,28.18859405
225,Kasupe,-15.30197044,28.17643913
226,Naleye Complex,-15.30576359,28.17746487
227,Yellow Shop,-15.307204,28.177558
228,Grace - Central Province,-15.310881,28.177287
229,Kasupe First Station,-15.32133065,28.18107057
230,Antakya Blocks - Kasupe,-15.32894902,28.18592086
231,Pa Chigayo,-15.33541765,28.18863501
232,Dag Farm - Kasupe,-15.33941703,28.19032369
233,First Tower - Kasupe,-15.34480994,28.19181729
234,Rivonia,-15.3487373,28.19341592
235,Powerline - Kasupe Rd,-15.36034,28.206281
236,Green Gate - Kasupe Rd,-15.36271589,28.21079656
237,Ferngrove Police Post,-15.36333455,28.212764
238,Middle West,-15.39199092,28.19862333
239,Pali Amai Busa,-15.392122,28.200924
240,Lusaka Bypass - Middle West Entrance,-15.392794,28.2043
241,Lusaka Bypass - Mungwi Rd,-15.38237161,28.2059561
242,Hopeful Group,-15.38282221,28.2068665
243,Kumwaka Lodge,-15.38379684,28.20886952
244,Exodus - Mungwe Rd,-15.385369,28.215227
245,Exodus - Mungwe Rd,-15.385431,28.215229
246,Lusaka Bypass - Kasupe Rd,-15.36410054,28.21401435
247,City Shine Last Stop,-15.39941637,28.20383278
248,City Shine Powerline,-15.40994862,28.20269378
249,City Shine First Stop,-15.40504896,28.20334503
250,Nengu Cleaners - City Shine,-15.40189911,28.20350014
251,White Office - Lusaka Bypass,-15.41356147,28.20253396
